emails,companies,locations
biw@gmail.com,Company A,Maharastra
bix@gmail.com,Company B,Punjab
bon@gmail.com,Company C,Maharastra
bou@gmail.com,Company D,Gujarat
biz@gmail.com,Company E,Gujarat
bov@gmail.com,Company F,Gujarat
bja@gmail.com,Company G,Punjab
bji@gmail.com,Company H,Gujarat
bow@gmail.com,Company I,Punjab
bpc@gmail.com,Company J,Maharastra
bpi@gmail.com,Company K,Maharastra
bpj@gmail.com,Company L,Maharastra
bjj@gmail.com,Company M,Maharastra
bpl@gmail.com,Company N,Punjab
bpm@gmail.com,Company O,Maharastra
bjm@gmail.com,Company P,Gujarat
bjp@gmail.com,Company Q,Gujarat
bjr@gmail.com,Company R,Gujarat
bjt@gmail.com,Company S,Gujarat
bpo@gmail.com,Company T,Punjab
